P1,P2,...,Pn
[8, 13, 3, 2]
[6, 3, 4, 9]
[5, 13, 0, 10]
[0, 13, 6, 1]
[7, 8, 2, 14]
[9, 5, 4, 2]
[4, 10, 14, 5]
[14, 3, 0, 9]
[2, 8, 3, 7]
[0, 8, 10, 14]
[2, 13, 9, 0]
[8, 2, 11, 13]
[6, 13, 7, 11]
[12, 8, 3, 14]
[3, 2, 8, 12]
[0, 9, 11, 14]
[13, 11, 0, 7]
[8, 11, 12, 9]
[7, 1, 13, 4]
[5, 0, 14, 2]
[12, 9, 5, 7]
[10, 14, 3, 6]
[10, 12, 1, 0]
[1, 14, 2, 10]
[10, 7, 11, 9]
[4, 5, 8, 7]
[6, 12, 14, 11]
[11, 2, 1, 6]
[2, 9, 5, 14]
[7, 0, 5, 14]
[9, 13, 5, 8]
[1, 13, 5, 7]
[5, 10, 9, 7]
[14, 12, 0, 4]
[10, 6, 9, 4]
[13, 2, 3, 10]
[7, 8, 1, 2]
[10, 4, 11, 5]
[3, 5, 6, 8]
[6, 7, 13, 2]
[10, 9, 0, 2]
[10, 1, 7, 6]
[7, 6, 9, 11]
[13, 11, 0, 2]
[1, 8, 10, 7]
[14, 10, 7, 11]
[5, 10, 9, 3]
[0, 13, 7, 10]
[10, 11, 13, 5]
[0, 14, 9, 7]
[13, 8, 2, 7]
[10, 5, 2, 14]
[14, 5, 12, 11]
[8, 6, 0, 4]
[10, 2, 11, 8]
[14, 0, 11, 5]
[5, 8, 3, 12]
[5, 11, 2, 4]
[10, 8, 7, 4]
[3, 6, 11, 12]
[11, 10, 1, 5]
[13, 6, 8, 12]
[1, 9, 8, 11]
[14, 0, 8, 13]
[11, 13, 2, 14]
[5, 0, 13, 7]
[8, 3, 9, 11]
[2, 14, 5, 6]
[10, 9, 11, 14]
[10, 12, 5, 3]
[7, 13, 11, 12]
[3, 14, 12, 6]
[0, 13, 2, 5]
[4, 10, 14, 5]
[11, 0, 12, 5]
[0, 2, 12, 14]
[10, 9, 12, 5]
[10, 14, 2, 7]
[12, 1, 9, 11]
[1, 4, 8, 0]
[6, 1, 4, 2]
[1, 8, 6, 13]
[13, 5, 2, 4]
[3, 6, 2, 9]
[10, 4, 5, 8]
[2, 9, 13, 8]
[0, 11, 5, 13]
[11, 3, 14, 5]
[11, 1, 9, 6]
[1, 14, 0, 12]
[7, 12, 14, 2]
[5, 9, 7, 10]
[0, 12, 5, 7]
[8, 7, 13, 11]
[14, 7, 11, 3]
[4, 3, 10, 11]
[4, 6, 7, 14]
[10, 11, 6, 7]
[1, 9, 2, 11]
[11, 12, 2, 14]
[9, 13, 10, 3]
[7, 13, 11, 14]
[0, 6, 3, 7]
[3, 5, 4, 11]
[7, 10, 2, 13]
[7, 5, 10, 11]
[13, 4, 5, 8]
[1, 9, 3, 14]
[13, 11, 1, 0]
[10, 0, 3, 7]
[3, 7, 0, 5]
[12, 11, 5, 2]
[5, 3, 6, 7]
[10, 13, 3, 6]
[10, 14, 11, 1]
[4, 11, 12, 13]
[6, 5, 1, 9]
[2, 1, 13, 4]
[14, 13, 12, 4]
[9, 6, 3, 0]
[6, 8, 7, 10]
[3, 5, 9, 14]
[14, 4, 3, 6]
[6, 4, 2, 14]
[7, 12, 14, 13]
[7, 11, 6, 9]
[12, 2, 1, 9]
[2, 3, 9, 4]
[7, 10, 6, 4]
[5, 10, 14, 0]
[8, 10, 7, 12]
[12, 4, 11, 6]
[7, 5, 1, 3]
[2, 11, 5, 8]
[13, 3, 14, 0]
[9, 6, 7, 14]
[8, 12, 6, 3]
[9, 2, 1, 7]
[2, 7, 14, 13]
[3, 5, 2, 8]
[14, 0, 1, 8]
[14, 8, 3, 2]
[7, 9, 6, 5]
[1, 3, 8, 11]
[11, 13, 14, 1]
[3, 14, 10, 7]
[9, 8, 10, 13]
[2, 8, 3, 0]
[3, 4, 5, 7]
[5, 1, 7, 12]
[11, 0, 2, 10]
[1, 5, 11, 8]
[13, 0, 4, 3]
[10, 3, 4, 2]
[2, 12, 8, 5]
[1, 9, 0, 12]
[10, 8, 1, 9]
[10, 12, 14, 13]
[3, 14, 8, 0]
[5, 10, 12, 3]
[14, 10, 8, 0]
[6, 13, 2, 14]
[12, 0, 13, 11]
[4, 10, 9, 6]
[1, 2, 8, 10]
[10, 7, 9, 6]
[6, 10, 12, 11]
[1, 10, 2, 12]
[0, 12, 13, 5]
[0, 5, 3, 2]
