P1,P2,...,Pn
[8, 3, 5, 13, 14]
[10, 11, 12, 8, 6]
[6, 2, 9, 3, 1]
[11, 1, 10, 14, 9]
[0, 3, 1, 6, 9]
[4, 6, 0, 10, 13]
[1, 4, 6, 5, 2]
[7, 9, 12, 3, 10]
[0, 9, 14, 6, 3]
[13, 8, 3, 14, 6]
[7, 12, 1, 11, 2]
[9, 5, 6, 1, 11]
[5, 9, 0, 1, 12]
[9, 7, 3, 1, 6]
[5, 10, 3, 14, 12]
[13, 8, 3, 2, 6]
[10, 12, 5, 0, 8]
[5, 10, 11, 8, 13]
[3, 8, 9, 0, 13]
[6, 8, 1, 7, 2]
[12, 5, 4, 3, 7]
[0, 2, 4, 9, 3]
[12, 4, 9, 1, 13]
[5, 0, 13, 1, 11]
[9, 11, 2, 4, 10]
[14, 12, 8, 1, 2]
[0, 10, 1, 14, 11]
[5, 11, 2, 8, 3]
