P1,P2,...,Pn
[14, 1, 5, 11, 12]
[2, 14, 5, 1, 0]
[11, 1, 3, 9, 0]
[8, 4, 1, 14, 2]
[9, 14, 0, 1, 4]
[4, 13, 10, 1, 6]
[10, 9, 8, 6, 2]
[11, 12, 3, 13, 5]
[12, 6, 8, 7, 10]
[8, 12, 1, 11, 4]
[3, 14, 1, 0, 8]
[4, 2, 5, 0, 6]
[2, 6, 9, 12, 8]
[6, 4, 13, 5, 10]
[9, 3, 8, 11, 5]
[8, 4, 10, 9, 13]
[3, 12, 9, 7, 14]
[6, 1, 5, 10, 8]
[10, 4, 9, 6, 3]
[12, 5, 4, 6, 14]
[2, 5, 9, 6, 7]
[4, 3, 1, 2, 0]
[7, 11, 14, 3, 1]
[9, 3, 12, 1, 10]
[14, 8, 13, 7, 0]
[12, 6, 14, 10, 11]
[5, 13, 10, 4, 1]
[5, 11, 7, 4, 2]
[5, 1, 7, 14, 0]
[7, 14, 3, 9, 2]
[3, 9, 13, 4, 12]
[7, 0, 3, 2, 14]
[13, 9, 2, 7, 1]
[13, 3, 2, 1, 4]
[0, 9, 5, 7, 2]
[1, 6, 11, 7, 5]
[6, 10, 3, 8, 7]
[2, 0, 7, 9, 11]
[11, 7, 4, 0, 3]
[1, 8, 5, 14, 13]
