P1,P2,...,Pn
[2, 13, 1]
[14, 12, 4]
[12, 7, 2]
[5, 4, 14]
[3, 4, 7]
[11, 0, 13]
[5, 10, 2]
[3, 10, 8]
[6, 9, 7]
[9, 8, 3]
[14, 3, 5]
[13, 3, 4]
[13, 14, 4]
[3, 1, 6]
[9, 10, 0]
[12, 5, 14]
[9, 2, 4]
[6, 8, 10]
[4, 10, 12]
[9, 0, 10]
[10, 9, 14]
[3, 9, 11]
[0, 2, 9]
[6, 12, 13]
[12, 8, 1]
[1, 2, 14]
[14, 8, 7]
[5, 3, 12]
[3, 1, 9]
[1, 6, 10]
[8, 13, 12]
[5, 3, 0]
[1, 2, 5]
[4, 7, 13]
[12, 4, 13]
[10, 1, 12]
[13, 7, 6]
[0, 1, 11]
[7, 3, 1]
[1, 5, 10]
[4, 7, 3]
[14, 13, 9]
[1, 13, 2]
[14, 9, 6]
[4, 2, 14]
[12, 11, 2]
[10, 12, 3]
[12, 3, 4]
[7, 6, 11]
[5, 12, 1]
[4, 2, 9]
