P1,P2,...,Pn
[3, 4]
[4, 10]
[2, 13]
[4, 2]
[10, 13]
[11, 12]
[2, 14]
[14, 2]
[8, 4]
[1, 3]
[13, 4]
[13, 9]
[0, 14]
[4, 3]
[8, 0]
[2, 4]
[11, 0]
[13, 3]
[1, 5]
[13, 4]
[4, 0]
[8, 14]
[0, 8]
[7, 6]
[2, 3]
[6, 9]
[12, 2]
[6, 3]
[2, 11]
[2, 14]
[8, 5]
[5, 7]
[1, 6]
[10, 4]
[2, 9]
[14, 13]
[7, 6]
[2, 4]
[6, 12]
[6, 13]
[13, 1]
[0, 6]
[14, 13]
[8, 1]
[5, 0]
[10, 7]
[13, 1]
[6, 4]
[11, 4]
[11, 12]
[14, 1]
[6, 5]
[9, 3]
[4, 12]
[13, 7]
[5, 4]
[5, 11]
[0, 1]
[13, 6]
[1, 4]
[12, 13]
[0, 6]
[13, 5]
[12, 14]
[1, 8]
[9, 2]
[14, 4]
[2, 3]
[0, 12]
[4, 2]
[1, 2]
[4, 8]
[7, 10]
[7, 1]
[14, 7]
[4, 8]
[13, 2]
[1, 11]
[5, 9]
