P1,P2,...,Pn
[7, 9, 4, 10]
[13, 0, 2, 4]
[1, 10, 8, 13]
[7, 2, 0, 14]
[4, 13, 9, 12]
[4, 0, 8, 9]
[0, 5, 11, 9]
[3, 14, 9, 12]
[10, 0, 2, 7]
[9, 14, 13, 3]
[4, 7, 8, 6]
[10, 12, 7, 4]
[9, 6, 13, 2]
[2, 13, 1, 14]
[10, 12, 6, 7]
[4, 1, 10, 5]
[7, 6, 5, 14]
[12, 0, 13, 4]
[8, 2, 12, 7]
[10, 6, 9, 13]
[1, 10, 9, 8]
[9, 1, 10, 5]
[2, 12, 10, 9]
[13, 3, 1, 5]
[6, 11, 7, 13]
[11, 8, 6, 9]
[5, 3, 12, 9]
[2, 10, 5, 14]
[6, 2, 3, 4]
[9, 2, 8, 11]
[2, 13, 7, 10]
[13, 11, 8, 3]
[14, 7, 4, 2]
[0, 7, 6, 9]
[9, 11, 12, 4]
[1, 12, 13, 9]
[0, 9, 14, 13]
[7, 8, 10, 0]
[7, 5, 0, 2]
[12, 9, 8, 13]
[12, 10, 9, 4]
[5, 11, 3, 6]
[0, 12, 2, 4]
[12, 4, 6, 0]
[4, 13, 14, 12]
[3, 7, 13, 8]
[6, 2, 1, 12]
[10, 2, 3, 14]
[11, 6, 3, 5]
[5, 13, 9, 12]
[7, 6, 4, 8]
[13, 5, 6, 2]
[11, 3, 6, 5]
[13, 14, 2, 12]
[8, 6, 13, 1]
[12, 3, 0, 8]
[3, 11, 1, 5]
[5, 10, 9, 1]
[5, 4, 11, 12]
[10, 6, 14, 0]
[13, 9, 10, 7]
[2, 6, 4, 13]
[0, 14, 2, 12]
[9, 11, 3, 1]
[12, 13, 6, 4]
[4, 3, 0, 14]
[12, 6, 4, 8]
[1, 11, 6, 12]
[14, 9, 8, 10]
[4, 11, 2, 0]
[9, 4, 14, 0]
[14, 12, 7, 0]
[10, 7, 0, 11]
[2, 5, 10, 11]
[6, 4, 9, 11]
[8, 5, 13, 11]
[3, 12, 2, 8]
[6, 9, 14, 12]
[11, 8, 9, 5]
[4, 2, 11, 8]
[8, 5, 7, 14]
[3, 12, 8, 10]
[8, 4, 7, 5]
[1, 7, 12, 13]
[6, 11, 1, 13]
[12, 2, 7, 5]
[11, 3, 2, 12]
[12, 5, 13, 14]
[11, 9, 12, 2]
[11, 4, 9, 10]
[12, 4, 2, 9]
[13, 4, 0, 12]
[1, 9, 4, 3]
[12, 13, 14, 8]
[2, 4, 7, 10]
[8, 14, 9, 10]
[13, 8, 4, 3]
[11, 8, 4, 3]
[0, 7, 10, 5]
[10, 7, 1, 0]
[3, 8, 7, 6]
[8, 0, 3, 13]
[13, 7, 6, 12]
[9, 10, 5, 14]
[12, 1, 0, 14]
[14, 11, 4, 0]
[1, 3, 12, 4]
[0, 1, 6, 8]
[12, 14, 10, 13]
[0, 10, 6, 8]
[7, 3, 2, 5]
[2, 11, 4, 10]
[14, 5, 12, 13]
[5, 12, 0, 3]
[7, 12, 4, 2]
[1, 14, 2, 4]
[1, 8, 11, 14]
[12, 9, 13, 11]
[5, 13, 12, 0]
[6, 12, 8, 7]
[0, 8, 12, 13]
[5, 7, 3, 4]
[10, 12, 3, 1]
[1, 11, 3, 10]
[4, 2, 13, 7]
[7, 5, 14, 11]
[0, 4, 5, 3]
[13, 10, 11, 1]
[1, 9, 7, 6]
[10, 14, 2, 9]
[10, 3, 8, 4]
[1, 13, 3, 9]
[1, 13, 5, 9]
[13, 12, 2, 6]
[9, 2, 6, 0]
[1, 0, 4, 3]
[1, 0, 6, 2]
[12, 9, 7, 5]
[5, 0, 11, 7]
[4, 3, 2, 9]
[3, 11, 12, 14]
[7, 9, 11, 2]
[13, 11, 2, 9]
[0, 3, 10, 7]
[8, 9, 3, 0]
[2, 1, 0, 8]
[13, 12, 9, 1]
[5, 11, 3, 9]
[3, 6, 5, 4]
[3, 8, 4, 1]
