name,up greedy,seq,up insertion,up oct_schedule,oct greedy,oct insertion,oct oct_schedule,cp,size
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_nsm_2x4.graphml,2118,1436,438,426,1717,346,367,164,214,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_6_copies.graphml,1245,1028,211,237,1196,213,226,45,162,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_LoadParset.graphml,29,24,20,20,29,20,20,13,3,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_3-2_copies.graphml,502,155,122,121,453,128,121,28,31,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev2_3-3-3_copies.graphml,4490,3895,609,831,5462,774,965,287,559,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,1271,916,267,338,1316,284,276,80,135,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_9-3-5-copies.graphml,10064,14181,1126,9728,10064,2300,10103,439,2068,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_hello.graphml,76,26,29,26,76,29,26,11,5,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_1_copies.graphml,1740,360,339,294,1643,354,296,99,59,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_8_copies.graphml,1362,1230,239,291,1417,246,288,63,184,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila.graphml,1183,408,235,211,634,152,170,68,66,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_dist_sagecal_sleep_9_copies.graphml,9553,2512,993,1088,9460,862,1004,602,355,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_minh_4-5_copies.graphml,703,275,181,177,762,184,167,51,42,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2-copies.graphml,1271,916,267,338,1316,284,276,80,135,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_12_copies.graphml,2250,1853,308,389,2454,310,380,103,272,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_8x8.graphml,8872,8311,897,1039,10064,1269,2821,128,1202,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_3_copies.graphml,1225,320,253,231,694,187,173,78,51,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_cal.graphml,73,21,21,21,73,21,21,9,4,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple.graphml,608,464,134,151,588,122,127,10,72,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_lofar_test_4x8.graphml,5103,4812,733,797,5303,871,1216,192,690,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_CALIB_12_copies.graphml,2466,2198,314,353,2402,391,401,27,324,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_mwa_gleam_simple_12_copies.graphml,1029,945,177,199,1012,158,165,28,144,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_atca_attila_12_copies.graphml,1313,643,279,256,884,221,239,108,96,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_askap_dingo_expanded.graphml,646,360,109,139,531,126,117,15,59,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_chiles_two_dev1.graphml,581,487,143,129,585,148,140,19,78,
/home/hummus/Dropbox/thesis/data/input/graphml/translated_MS-MSF_Fq-Ti-Fc-Sb_2-4-9_copies.graphml,5701,4810,566,965,5970,803,1824,132,699,
