name,up greedy,up insertion,random oct_schedule,up oct_schedule,oct greedy,oct insertion,random greedy,oct oct_schedule,random insertion,cp,size,seq
translated_MS-MSF_Fq-Fc-Ti-Sb_2-2-2_copies.graphml,2279,449,535,488,2331,445,2328,507,441,191,135,928
translated_askap_LoadParset.graphml,12,11,11,11,12,11,12,11,11,11,3,11
translated_atca_minh_3-2_copies.graphml,523,162,194,194,427,144,562,185,158,93,31,222
translated_MS-MSF_Ti-Fq-Fc-Sb.graphml,11530,1626,2069,2074,11571,2184,11484,2386,1608,518,711,4830
translated_CALIB_6_copies.graphml,2411,409,491,495,2439,406,2438,512,446,83,162,1128
translated_lofar_test_2x4.graphml,3395,699,849,851,3429,700,3410,782,719,405,220,1495
translated_chiles_two_6_copies.graphml,2275,394,463,499,2312,408,2282,470,393,92,140,948
translated_chiles_two_dev2_6-8-4_copies.graphml,55957,7289,10009,9988,58107,10154,55911,12164,7329,501,3467,24147
translated_askap_hello.graphml,72,34,32,34,72,34,72,34,32,19,5,37
translated_chiles_two_dev2_3-3-3_copies.graphml,8839,1320,1721,1636,9579,1581,8813,2013,1299,609,559,3936
translated_chiles_two_dev2_3-6-9_copies.graphml,46821,6333,8482,8508,47049,8617,47214,10115,6282,1058,2899,20358
translated_MS-MSF_Fq-Fc-Ti-Sb_6-6-6_copies.graphml,52574,7226,9696,9773,52377,9572,52563,11264,7130,861,3271,22859
translated_dist_sagecal.graphml,3026,644,635,641,2915,579,3026,597,644,343,98,736
translated_askap_LoadVis.graphml,12,11,11,11,12,11,12,11,11,11,3,11
translated_test_grpby_gather.graphml,2039,344,426,423,2059,371,2051,419,366,40,154,1046
translated_chiles_two.graphml,1072,240,283,278,1066,233,1110,246,254,51,76,485
translated_facet_img_8-8-4_copies.graphml,73475,9964,13414,13369,75926,13539,73600,16180,9924,308,4583,32045
translated_mwa_gleam.graphml,2008,363,394,405,2017,345,2021,408,372,65,130,835
translated_chiles_two_dev1_12-12_copies.graphml,14425,2037,2644,2641,14703,2619,14476,3184,2020,61,906,6408
translated_lofar_nsm_2x4.graphml,3071,641,753,728,3064,606,3084,717,603,195,214,1431
translated_chiles_simple.graphml,351,87,78,88,324,95,351,78,87,21,22,125
